ORF,Ribo_Prints,RNA_Prints,length
NM_000715,1,0,2243
NM_000718,19,2,9790
NM_000720,12,3,7723
NM_000721,1,0,14959
NM_000722,29,22,7571
NM_000723,31,23,3742
NM_000724,2,0,4468
NM_000725,36,13,2958
NM_000726,16,16,7978
NM_000728,153,45,1031
NM_000740,34,16,2745
NM_000741,2,0,1817
NM_000743,9,5,3318
NM_000744,25,3,5543
NM_000745,136,50,3623
NM_000746,39,23,3346
NM_000747,25,72,2437
NM_000750,10,1,2448
NM_000754,392,63,2304
NM_000755,129,21,2766
NM_000757,35,22,4234
NM_000758,1,0,785
NM_000761,17,9,3127
NM_000767,5,5,3052
NM_000772,1,3,2545
NM_000775,10,2,1857
NM_000780,3,3,2875
NM_000782,1,0,3266
NM_000783,27,4,2119
NM_000784,4,1,2293
NM_000785,4,7,2487
NM_000786,518,46,3208
NM_000788,99,36,2605
NM_000789,14,8,4969
NM_000791,856,591,3917
NM_000797,4,0,1362
NM_000798,1,0,2376
NM_000801,1006,330,1633
NM_000809,1,0,11973
NM_000810,1,0,2898
NM_000814,32,6,5782
NM_000815,17,13,1925
NM_000816,1,0,3933
NM_000817,25,12,3474
NM_000819,1128,82,3361
NM_000820,95,66,2535
NM_000821,224,83,7597
NM_000824,46,8,3058
NM_000828,1,0,5182
NM_000831,1,0,9219
NM_000834,1,0,5941
NM_000835,5,0,4270
NM_000836,90,14,5093
NM_000837,926,320,1968
NM_000839,3,0,3355
NM_000841,1,0,7418
NM_000843,2,17,6141
NM_000844,1,0,4147
NM_000848,148,39,1201
NM_000849,366,101,4127
NM_000850,80,23,1426
NM_000851,2,0,1570
NM_000852,2724,878,958
NM_000855,6,4,16126
NM_000856,1,3,9440
NM_000857,44,6,3261
NM_000858,240,501,1154
NM_000859,350,119,4582
NM_000860,5,1,3027
NM_000861,1,0,4407
NM_000864,6,2,2835
NM_000867,1,0,2232
NM_000869,1,4,2237
NM_000871,22,6,3388
NM_000874,15,12,1442
NM_000875,370,93,12235
NM_000876,673,140,9091
NM_000877,5,0,5153
NM_000882,5,2,1443
NM_000883,35,27,2611
NM_000884,1463,839,1691
NM_000885,39,13,6076
NM_000887,5,5,4703
NM_000889,1,0,2867
NM_000890,6,12,2899
NM_000893,1,0,2143
NM_000895,521,132,2214
NM_000899,20,26,5443
NM_000900,4,0,1398
NM_000901,20,44,5898
NM_000902,14,8,5643
NM_000903,39,8,2591
NM_000904,211,75,1272
NM_000905,5,0,560
NM_000906,6,1,4185
NM_000909,6,2,2958
NM_000910,1,0,3628
NM_000911,12,3,1774
NM_000913,19,2,3225
NM_000914,3,5,15279
NM_000916,5,2,4360
NM_000917,94,52,2846
NM_000918,1642,138,2578
NM_000919,17,24,5337
NM_000920,119,30,4004
NM_000921,3,1,7302
NM_000922,61,25,6090
NM_000923,8,17,5346
NM_000924,18,0,3401
NM_000925,469,143,1527
NM_000927,25,6,4716
NM_000930,244,46,3173
NM_000932,201,80,5728
NM_000933,4,9,5406
NM_000935,168,31,3996
NM_000937,1711,84,6738
NM_000938,195,55,4045
NM_000939,4,0,1245
NM_000941,351,160,2499
NM_000942,1218,496,1028
NM_000943,225,62,1236
NM_000944,137,39,4676
NM_000945,223,69,3011
NM_000946,162,86,1462
NM_000947,185,57,2289
NM_000949,1,2,11685
NM_000950,12,28,4584
NM_000951,8,2,1393
NM_000952,2,6,4247
NM_000954,1,0,812
NM_000955,3,0,1421
NM_000956,5,4,2478
NM_000958,1,1,3416
NM_000961,23,19,5603
NM_000962,1,0,5039
NM_000963,4,4,4493
NM_000964,144,7,3284
NM_000965,9,0,3131
NM_000966,71,43,2967
NM_000967,4101,4602,1338
NM_000968,4080,3706,1441
NM_000969,2779,2568,1031
NM_000970,3248,2159,954
NM_000971,1750,1361,837
NM_000972,3237,3581,890
NM_000973,7328,2460,875
NM_000975,1636,1679,634
NM_000976,2771,2670,660
NM_000977,6985,4671,4499
NM_000978,2105,1637,577
NM_000979,4389,1887,887
NM_000980,5351,2098,671
NM_000981,4130,1939,732
NM_000982,1122,951,566
NM_000983,676,567,2085
NM_000984,2581,2954,970
NM_000985,125,188,963
NM_000986,2436,1582,562
NM_000987,1699,1843,582
NM_000988,3558,1800,490
NM_000989,995,1294,554
NM_000990,2459,1630,4879
NM_000991,2173,617,4207
NM_000992,3066,3162,695
NM_000993,1290,1178,507
NM_000994,3040,2254,1651
NM_000995,1256,826,902
NM_000996,1415,879,483
NM_000997,1441,1225,1570
NM_000998,2871,2286,418
NM_000999,3250,944,392
NM_001000,924,1769,419
NM_001001,591,113,577
NM_001001132,126,76,5441
NM_001001323,165,37,6933
NM_001001329,2141,188,2443
NM_001001330,43,48,5205
NM_001001331,1,1,8962
NM_001001342,8,10,2709
NM_001001344,8,0,6420
NM_001001349,96,126,2386
NM_001001390,1,0,4985
NM_001001391,1,0,4589
NM_001001392,1,0,3969
NM_001001396,135,132,8920
NM_001001410,327,111,1204
NM_001001412,1,0,3056
NM_001001413,1,3,3822
NM_001001415,5,5,2361
NM_001001417,2,0,2110
NM_001001419,258,123,7097
NM_001001420,235,108,6938
NM_001001431,1,0,1152
NM_001001433,31,28,4967
NM_001001436,32,12,1383
NM_001001438,318,98,2692
NM_001001479,17,10,2542
NM_001001481,16,44,8459
NM_001001483,80,59,2288
NM_001001484,103,50,3826
NM_001001485,40,9,3692
NM_001001486,17,11,3494
NM_001001487,21,7,3464
NM_001001502,27,10,1450
NM_001001503,295,102,1035
NM_001001520,493,119,2381
NM_001001521,109,39,2112
NM_001001524,18,1,1483
NM_001001548,3,5,4727
NM_001001549,165,72,4567
NM_001001550,212,85,4785
NM_001001551,1,4,1037
NM_001001555,214,68,5032
NM_001001556,38,20,3228
NM_001001557,1,1,3701
NM_001001560,264,108,2899
NM_001001563,488,269,2572
NM_001001567,9,5,1880
NM_001001569,4,3,1676
NM_001001570,10,3,1901
NM_001001571,3,0,1809
NM_001001572,3,3,1687
NM_001001573,4,2,1867
NM_001001574,5,2,1802
NM_001001575,1,2,1632
NM_001001576,1,0,1591
NM_001001577,3,0,1710
NM_001001578,1,2,1754
NM_001001579,4,6,1747
NM_001001580,8,0,1547
NM_001001581,6,2,1911
NM_001001582,3,1,1989
NM_001001583,4,4,1982
NM_001001584,4,2,1810
NM_001001585,2,6,1934
NM_001001653,90,61,2032
NM_001001655,50,39,1047
NM_001001661,21,9,3218
NM_001001662,5,4,3313
NM_001001664,27,18,5734
NM_001001665,19,15,4685
NM_001001668,5,10,7141
NM_001001669,6,2,4865
NM_001001671,39,23,4633
NM_001001683,77,29,859
NM_001001701,131,71,2839
NM_001001709,1,0,3409
NM_001001710,1,0,1148
NM_001001713,6,4,998
NM_001001715,59,6,1403
NM_001001740,148,82,2717
NM_001001788,9,4,1181
NM_001001790,190,150,746
NM_001001791,2,0,2513
NM_001001794,9,4,2006
NM_001001795,270,78,1932
NM_001001827,2,0,972
NM_001001851,3,8,3132
NM_001001852,416,136,2379
NM_001001872,29,10,3082
NM_001001890,6,2,7274
NM_001001891,16,7,4128
NM_001001894,135,219,7716
NM_001001923,1,0,963
NM_001001924,27,39,6419
NM_001001925,9,38,6257
NM_001001928,31,51,9965
NM_001001931,11,9,4006
NM_001001933,9,6,2373
NM_001001935,2088,620,1995
NM_001001937,1929,619,1945
NM_001001938,14,3,4896
NM_001001956,1,0,957
NM_001001966,1,0,930
NM_001001971,8,0,3081
NM_001001973,848,323,1146
NM_001001974,43,59,3881
NM_001001975,839,176,700
NM_001001976,61,21,4930
NM_001001992,78,32,2970
NM_001001994,71,26,1513
NM_001001995,76,17,3216
NM_001001996,93,16,1779
NM_001001998,386,133,2842
NM_001002,3007,5659,1204
NM_001002000,30,23,1971
NM_001002001,36,19,1912
NM_001002002,32,16,1651
NM_001002006,1,0,2870
NM_001002009,43,18,1760
NM_001002010,46,20,1705
NM_001002017,42,8,948
NM_001002018,23,3,793
NM_001002019,207,92,1637
NM_001002020,195,63,1666
NM_001002021,726,205,3412
NM_001002026,1,1,3350
NM_001002027,1083,222,576
NM_001002029,2,1,5427
NM_001002030,104,38,2339
NM_001002031,1663,631,1164
NM_001002032,370,78,1591
NM_001002033,282,80,1705
NM_001002034,2,0,2332
NM_001002236,1,0,3513
NM_001002243,64,24,4036
NM_001002244,67,21,1186
NM_001002245,49,8,855
NM_001002246,55,14,918
NM_001002247,43,25,863
NM_001002248,59,22,926
NM_001002249,80,20,977
NM_001002251,109,34,1624
NM_001002252,46,43,1672
NM_001002254,1,0,2124
NM_001002255,33,3,688
NM_001002257,71,47,4899
NM_001002258,1779,1539,2729
NM_001002259,26,5,4485
NM_001002261,40,12,2859
NM_001002262,47,16,3028
NM_001002266,32,76,4792
NM_001002269,130,51,1689
NM_001002292,591,167,2052
NM_001002295,74,0,3070
NM_001002296,82,93,2027
NM_001002755,88,41,1104
NM_001002756,57,33,1058
NM_001002759,31,15,1432
NM_001002762,172,83,4360
NM_001002796,2,0,4680
NM_001002800,499,102,5470
NM_001002811,143,107,5679
NM_001002812,10,49,4835
NM_001002814,178,89,7856
NM_001002836,211,85,2024
NM_001002837,8,0,2287
NM_001002838,35,22,11172
NM_001002843,57,11,4907
NM_001002844,37,12,4266
NM_001002857,483,201,1635
NM_001002858,443,191,1626
NM_001002860,73,296,8501
NM_001002862,61,30,3099
NM_001002876,126,42,874
NM_001002877,223,134,2546
NM_001002878,197,152,2677
NM_001002879,159,152,2561
NM_001002880,78,59,1271
NM_001002905,3,0,929
NM_001002909,74,17,7032
NM_001002912,4,0,7159
NM_001002913,66,8,815
NM_001002914,51,26,3055
NM_001002920,1,0,1838
NM_001002923,1,1,573
NM_001002926,153,47,3892
NM_001003,4045,3399,512
NM_001003395,54,30,1391
NM_001003396,57,32,1309
NM_001003397,83,24,1270
NM_001003398,17,4,3285
NM_001003407,49,84,7609
NM_001003408,15,61,7693
NM_001003652,108,71,10536
NM_001003665,20,21,7705
NM_001003674,9,0,9148
NM_001003675,5,5,9094
NM_001003676,17,11,1995
NM_001003677,16,4,1740
NM_001003678,14,4,1226
NM_001003679,23,19,5135
NM_001003680,21,14,3069
NM_001003681,63,106,4136
NM_001003684,932,257,975
NM_001003688,65,20,2877
NM_001003690,68,34,1547
NM_001003692,65,50,918
NM_001003694,115,24,4728
NM_001003696,480,142,834
NM_001003697,498,86,662
NM_001003698,222,16,8568
NM_001003699,189,19,8733
NM_001003700,196,24,7935
NM_001003701,461,163,1210
NM_001003702,1,0,2474
NM_001003703,427,187,1296
NM_001003704,169,93,1045
NM_001003712,172,72,7195
NM_001003713,805,285,493
NM_001003714,182,154,394
NM_001003715,36,11,2394
NM_001003716,27,6,2861
NM_001003722,260,131,3342
NM_001003760,1,1,5743
NM_001003785,447,125,550
NM_001003786,30,9,2226
NM_001003787,10,7,2337
NM_001003788,28,10,2308
NM_001003789,10,6,2190
NM_001003790,77,13,1753
NM_001003791,60,26,1524
NM_001003792,10,0,8163
NM_001003794,12,1,4235
NM_001003795,46,19,3585
NM_001003796,598,268,1500
NM_001003800,178,41,6416
NM_001003801,101,60,1683
NM_001003802,116,36,1672
NM_001003803,78,26,1845
NM_001003805,33,32,1673
NM_001003810,1191,41,2053
NM_001003811,4,4,3140
NM_001003818,25,1,3430
NM_001003819,8,6,3478
NM_001003828,72,65,1878
NM_001003841,2,0,5172
NM_001003845,3,0,1947
NM_001003891,74,8,3432
NM_001003897,79,88,1198
NM_001003931,14,20,2395
NM_001003937,57,0,3095
NM_001003940,95,62,4686
NM_001003941,57,62,1812
NM_001003942,47,32,4388
NM_001003943,62,40,4536
NM_001003954,1,0,1593
NM_001003962,394,221,1565
NM_001004,4217,1883,493
NM_001004019,18,3,4324
NM_001004023,76,20,2261
NM_001004051,23,17,3808
NM_001004055,20,6,1304
NM_001004056,8,4,2218
NM_001004057,22,4,2176
NM_001004060,1470,796,3922
NM_001004065,117,49,6963
NM_001004067,1659,719,4316
NM_001004105,253,156,1946
NM_001004106,386,290,2950
NM_001004125,68,54,2470
NM_001004127,69,31,2565
NM_001004128,249,49,2583
NM_001004136,1,0,975
NM_001004297,2,1,2078
NM_001004301,1,3,4188
NM_001004303,1,0,3460
NM_001004304,88,131,4256
NM_001004309,15,10,1838
NM_001004313,36,2,3092
NM_001004316,2,0,2572
NM_001004317,103,139,5505
NM_001004318,14,11,2961
NM_001004319,2,0,1014
NM_001004320,1,3,2475
NM_001004326,2,0,1427
NM_001004329,2,0,2722
NM_001004333,1287,203,811
NM_001004334,2,0,7980
NM_001004339,47,19,4271
NM_001004341,15,3,1977
NM_001004342,4,0,8522
NM_001004343,5,5,1192
NM_001004354,334,117,2621
NM_001004356,197,73,3215
NM_001004358,152,81,3098
NM_001004416,1,0,4878
NM_001004419,118,47,5366
NM_001004426,54,27,3061
NM_001004431,52,25,1612
NM_001004434,2,0,2499
NM_001004439,10,0,5009
NM_001004441,6,6,3935
NM_001004456,3,0,942
NM_001004461,1,0,945
NM_001004488,4,0,933
NM_001004692,1,0,963
NM_001004696,1,0,1047
NM_001004701,5,0,933
NM_001004720,79,50,2407
NM_001004722,60,23,1795
NM_001004726,2,0,918
NM_001004728,1,0,948
NM_001004731,1,0,1089
NM_001005,2791,3668,2092
NM_001005173,1,0,1094
NM_001005179,2,0,1098
NM_001005186,1,0,954
NM_001005192,2,0,936
NM_001005207,107,70,3618
NM_001005209,44,19,2235
NM_001005214,1,0,1122
NM_001005221,1,0,939
NM_001005237,1,0,966
NM_001005242,99,40,4307
NM_001005271,420,153,7354
NM_001005273,349,124,7325
NM_001005290,133,58,1639
NM_001005291,313,87,5001
NM_001005327,1,0,948
NM_001005332,2068,273,2649
NM_001005333,2241,270,2912
NM_001005335,2786,591,1881
NM_001005336,92,25,3281
NM_001005337,1,0,5384
NM_001005339,77,49,904
NM_001005340,1,2,2766
NM_001005353,171,110,6998
NM_001005354,180,81,1045
NM_001005356,2,0,1926
NM_001005360,880,199,3666
NM_001005361,698,229,3666
NM_001005362,740,237,3654
NM_001005366,135,28,5224
NM_001005368,29,46,1202
NM_001005369,50,74,2949
NM_001005373,69,4,3146
NM_001005374,68,21,2851
NM_001005376,2,3,1434
NM_001005377,13,11,1418
NM_001005386,807,254,3937
NM_001005388,1,0,10334
NM_001005389,3,1,2510
NM_001005404,12,15,5232
NM_001005407,141,55,8070
NM_001005408,197,71,5181
NM_001005413,309,185,1519
NM_001005415,35,16,1380
NM_001005416,26,26,1170
NM_001005417,145,174,2004
NM_001005463,67,17,4412
NM_001005464,53705,11047,507
NM_001005469,2,0,945
NM_001005474,4,16,3793
NM_001005476,66,47,4545
NM_001005479,1,0,978
NM_001005498,75,10,3443
NM_001005501,1,0,945
NM_001005502,26,17,6636
NM_001005505,48,4,5665
NM_001005526,54,25,664
NM_001005567,1,0,1454
NM_001005609,41,21,5274
NM_001005610,11,0,846
NM_001005612,23,24,5265
NM_001005613,15,0,930
NM_001005619,17,3,5689
NM_001005731,17,0,5709
NM_001005735,87,44,1987
NM_001005739,14,46,3958
NM_001005741,233,68,2583
NM_001005742,259,27,2564
NM_001005743,168,90,3644
NM_001005744,142,76,3500
NM_001005745,178,116,3467
NM_001005746,7,4,7928
NM_001005751,232,102,4708
NM_001005753,62,148,3131
NM_001005781,184,96,1078
NM_001005782,201,130,1452
NM_001005785,1,0,3781
NM_001005786,2,0,3277
NM_001005849,565,413,994
NM_001005850,16,3,2774
NM_001005851,15,23,8664
NM_001005855,61,31,1516
NM_001005861,48,69,2940
NM_001005862,151,79,4872
NM_001005909,73,34,1800
NM_001005910,19,7,1244
NM_001005911,9,14,1241
NM_001005914,5,4,3003
NM_001005915,6,7,1050
NM_001005918,90,32,6020
NM_001005920,164,159,2042
NM_001005922,1,0,942
NM_001006,1283,2751,934
NM_001006109,276,56,1793
