name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,length
YAL059C-A,chrI,-,36495,36918,36495,36918,1,"36495,","36918,",YAL059C-A,423
YAL026C-A,chrI,-,95385,95823,95385,95823,1,"95385,","95823,",YAL026C-A,438
YAL060W,chrI,+,35154,36303,35154,36303,1,"35154,","36303,",BDH1,1149
YAL016W,chrI,+,124878,126786,124878,126786,1,"124878,","126786,",TPD3,1908
YAL045C,chrI,-,57487,57796,57487,57796,1,"57487,","57796,",YAL045C,309
YAL028W,chrI,+,92899,94486,92899,94486,1,"92899,","94486,",FRT2,1587
YAL051W,chrI,+,48563,51707,48563,51707,1,"48563,","51707,",OAF1,3144
YAL019W,chrI,+,114918,118314,114918,118314,1,"114918,","118314,",FUN30,3396
YAL042C-A,chrI,-,61230,61608,61230,61608,1,"61230,","61608,",YAL042C-A,378
YAL064C-A,chrI,-,13362,13743,13362,13743,1,"13362,","13743,",TDA8,381
YAL069W,chrI,+,334,649,334,649,1,"334,","649,",YAL069W,315
YAL059W,chrI,+,36508,37147,36508,37147,1,"36508,","37147,",ECM1,639
YAL021C,chrI,-,110845,113359,110845,113359,1,"110845,","113359,",CCR4,2514
YAL037C-A,chrI,-,73425,73518,73425,73518,1,"73425,","73518,",YAL037C-A,93
YAL037C-B,chrI,-,72325,73300,72325,73300,1,"72325,","73300,",YAL037C-B,975
YAL017W,chrI,+,120224,124295,120224,124295,1,"120224,","124295,",PSK1,4071
YAL067C,chrI,-,7234,9016,7234,9016,1,"7234,","9016,",SEO1,1782
YAL044C,chrI,-,57949,58462,57949,58462,1,"57949,","58462,",GCV3,513
YAL056W,chrI,+,39258,41901,39258,41901,1,"39258,","41901,",GPB2,2643
YAL031W-A,chrI,+,84668,84977,84668,84977,1,"84668,","84977,",YAL031W-A,309
YAL019W-A,chrI,+,114249,114819,114249,114819,1,"114249,","114819,",YAL019W-A,570
YAL020C,chrI,-,113613,114615,113613,114615,1,"113613,","114615,",ATS1,1002
YAL068C,chrI,-,1806,2169,1806,2169,1,"1806,","2169,",PAU8,363
YAL036C,chrI,-,75042,76152,75042,76152,1,"75042,","76152,",RBG1,1110
YAL034C,chrI,-,80709,81951,80709,81951,1,"80709,","81951,",FUN19,1242
YAL053W,chrI,+,45898,48250,45898,48250,1,"45898,","48250,",FLC2,2352
YAL043C,chrI,-,58694,61052,58694,61052,1,"58694,","61052,",PTA1,2358
YAL062W,chrI,+,31566,32940,31566,32940,1,"31566,","32940,",GDH3,1374
YAL033W,chrI,+,82705,83227,82705,83227,1,"82705,","83227,",POP5,522
YAL063C-A,chrI,-,22394,22685,22394,22685,1,"22394,","22685,",YAL063C-A,291
YAL044W-A,chrI,+,57517,57850,57517,57850,1,"57517,","57850,",YAL044W-A,333
YAL023C,chrI,-,106271,108551,106271,108551,1,"106271,","108551,",PMT2,2280
YAL061W,chrI,+,33447,34701,33447,34701,1,"33447,","34701,",BDH2,1254
YAL058W,chrI,+,37463,38972,37463,38972,1,"37463,","38972,",CNE1,1509
YAL029C,chrI,-,87854,92270,87854,92270,1,"87854,","92270,",MYO4,4416
YAL042W,chrI,+,61315,62563,61315,62563,1,"61315,","62563,",ERV46,1248
YAL035W,chrI,+,76426,79435,76426,79435,1,"76426,","79435,",FUN12,3009
YAL022C,chrI,-,108876,110430,108876,110430,1,"108876,","110430,",FUN26,1554
YAL018C,chrI,-,118563,119541,118563,119541,1,"118563,","119541,",LDS1,978
YAL027W,chrI,+,94686,95472,94686,95472,1,"94686,","95472,",SAW1,786
YAL008W,chrI,+,136913,137510,136913,137510,1,"136913,","137510,",FUN14,597
YAR023C,chrI,-,179280,179820,179280,179820,1,"179280,","179820,",YAR023C,540
YAR003W,chrI,+,155004,156285,155004,156285,1,"155004,","156285,",SWD1,1281
YAR028W,chrI,+,184891,185596,184891,185596,1,"184891,","185596,",YAR028W,705
YAR053W,chrI,+,208366,208663,208366,208663,1,"208366,","208663,",YAR053W,297
YAR033W,chrI,+,188106,188811,188106,188811,1,"188106,","188811,",MST28,705
YAR002W,chrI,+,152256,153876,152256,153876,1,"152256,","153876,",NUP60,1620
YAR030C,chrI,-,186511,186853,186511,186853,1,"186511,","186853,",YAR030C,342
YAR073W,chrI,+,227741,228953,227741,228953,1,"227741,","228953,",IMD1,1212
YAR050W,chrI,+,203402,208016,203402,208016,1,"203402,","208016,",FLO1,4614
YAR042W,chrI,+,192618,196185,192618,196185,1,"192618,","196185,",SWH1,3567
YAR014C,chrI,-,166741,168871,166741,168871,1,"166741,","168871,",BUD14,2130
YAR060C,chrI,-,217156,217492,217156,217492,1,"217156,","217492,",YAR060C,336
YAR019W-A,chrI,+,174997,175330,174997,175330,1,"174997,","175330,",YAR019W-A,333
YAR035W,chrI,+,190192,192256,190192,192256,1,"190192,","192256,",YAT1,2064
YAR069C,chrI,-,224010,224304,224010,224304,1,"224010,","224304,",YAR069C,294
YAL007C,chrI,-,137697,138345,137697,138345,1,"137697,","138345,",ERP2,648
YAR020C,chrI,-,176855,177023,176855,177023,1,"176855,","177023,",PAU7,168
YAL001C,chrI,-,147593,151166,147593,151166,2,"147593,151096,","151006,151166,",TFC3,3483
YAL009W,chrI,+,135853,136633,135853,136633,1,"135853,","136633,",SPO7,780
YAR068W,chrI,+,222405,222891,222405,222891,1,"222405,","222891,",YAR068W,486
YAR075W,chrI,+,228843,229317,228843,229317,1,"228843,","229317,",YAR075W,474
YAR027W,chrI,+,183769,184477,183769,184477,1,"183769,","184477,",UIP3,708
YAL005C,chrI,-,139502,141431,139502,141431,1,"139502,","141431,",SSA1,1929
YAR010C,chrI,-,164543,165866,164543,165866,1,"164543,","165866,",YAR010C_CDS,1323
YAR002C-A,chrI,-,154064,154724,154064,154724,1,"154064,","154724,",ERP1,660
YAL004W,chrI,+,140759,141407,140759,141407,1,"140759,","141407,",YAL004W,648
YAR066W,chrI,+,221048,221660,221048,221660,1,"221048,","221660,",YAR066W,612
YAR029W,chrI,+,186320,186545,186320,186545,1,"186320,","186545,",YAR029W,225
YAR007C,chrI,-,156753,158619,156753,158619,1,"156753,","158619,",RFA1,1866
YAR031W,chrI,+,186835,187732,186835,187732,1,"186835,","187732,",PRM9,897
YAR018C,chrI,-,170395,171703,170395,171703,1,"170395,","171703,",KIN3,1308
YAL010C,chrI,-,134183,135665,134183,135665,1,"134183,","135665,",MDM10,1482
YAR009C,chrI,-,160596,164187,160596,164187,1,"160596,","164187,",YAR009C_CDS,3591
YAR035C-A,chrI,-,192336,192417,192336,192417,1,"192336,","192417,",YAR035C-A,81
YAL003W,chrI,+,142173,143160,142173,143160,2,"142173,142619,","142253,143160,",EFB1,621
YAR019C,chrI,-,172210,175135,172210,175135,1,"172210,","175135,",CDC15,2925
YAR070C,chrI,-,224562,224862,224562,224862,1,"224562,","224862,",YAR070C,300
YAR008W,chrI,+,158965,159793,158965,159793,1,"158965,","159793,",SEN34,828
YAR047C,chrI,-,201466,201787,201466,201787,1,"201466,","201787,",YAR047C,321
YAL011W,chrI,+,132198,134076,132198,134076,1,"132198,","134076,",SWC3,1878
YAR071W,chrI,+,225459,226863,225459,226863,1,"225459,","226863,",PHO11,1404
YAR015W,chrI,+,169374,170295,169374,170295,1,"169374,","170295,",ADE1,921
YAL002W,chrI,+,143706,147531,143706,147531,1,"143706,","147531,",VPS8,3825
YAR064W,chrI,+,220197,220497,220197,220497,1,"220197,","220497,",YAR064W,300
YER054C,chrV,-,262051,263698,262051,263698,1,"262051,","263698,",GIP2,1647
YER169W,chrV,+,523368,525759,523368,525759,1,"523368,","525759,",RPH1,2391
YER114C,chrV,-,390589,393712,390589,393712,1,"390589,","393712,",BOI2,3123
YEL059C-A,chrV,-,42399,42624,42399,42624,1,"42399,","42624,",SOM1,225
YEL018W,chrV,+,121470,122310,121470,122310,1,"121470,","122310,",EAF5,840
YEL021W,chrV,+,116166,116970,116166,116970,1,"116166,","116970,",URA3,804
YEL074W,chrV,+,6125,6464,6125,6464,1,"6125,","6464,",YEL074W,339
YEL056W,chrV,+,47167,48373,47167,48373,1,"47167,","48373,",HAT2,1206
YEL058W,chrV,+,43251,44925,43251,44925,1,"43251,","44925,",PCM1,1674
YEL062W,chrV,+,34406,36254,34406,36254,1,"34406,","36254,",NPR2,1848
YEL042W,chrV,+,73770,75327,73770,75327,1,"73770,","75327,",GDA1,1557
YEL050C,chrV,-,59669,60851,59669,60851,1,"59669,","60851,",RML2,1182
YEL020C,chrV,-,118616,120299,118616,120299,1,"118616,","120299,",YEL020C,1683
YEL053W-A,chrV,+,52907,53255,52907,53255,1,"52907,","53255,",YEL053W-A,348
YEL019C,chrV,-,120497,121301,120497,121301,1,"120497,","121301,",MMS21,804
YEL030C-A,chrV,-,94582,94897,94582,94897,1,"94582,","94897,",YEL030C-A,315
YEL020C-B,chrV,-,117182,117380,117182,117380,1,"117182,","117380,",YEL020C-B,198
YEL061C,chrV,-,36534,39537,36534,39537,1,"36534,","39537,",CIN8,3003
YEL051W,chrV,+,58377,59148,58377,59148,1,"58377,","59148,",VMA8,771
YEL028W,chrV,+,98667,99129,98667,99129,1,"98667,","99129,",YEL028W,462
YEL029C,chrV,-,96857,97796,96857,97796,1,"96857,","97796,",BUD16,939
YEL045C,chrV,-,68839,69265,68839,69265,1,"68839,","69265,",YEL045C,426
YEL059W,chrV,+,42651,42960,42651,42960,1,"42651,","42960,",HHY1,309
YEL075C,chrV,-,5344,5713,5344,5713,1,"5344,","5713,",YEL075C,369
YEL035C,chrV,-,85044,85545,85044,85545,1,"85044,","85545,",UTR5,501
YEL069C,chrV,-,21536,23231,21536,23231,1,"21536,","23231,",HXT13,1695
YEL023C,chrV,-,108503,110552,108503,110552,1,"108503,","110552,",YEL023C,2049
YEL033W,chrV,+,86178,86598,86178,86598,1,"86178,","86598,",MTC7,420
YEL077W-A,chrV,+,629,1112,629,1112,1,"629,","1112,",YEL077W-A,483
YEL015W,chrV,+,126628,128284,126628,128284,1,"126628,","128284,",EDC3,1656
YEL040W,chrV,+,78052,79456,78052,79456,1,"78052,","79456,",UTR2,1404
YEL064C,chrV,-,29796,31239,29796,31239,1,"29796,","31239,",AVT2,1443
YEL032C-A,chrV,-,87039,87201,87039,87201,1,"87039,","87201,",YEL032C-A,162
YEL072W,chrV,+,13719,14415,13719,14415,1,"13719,","14415,",RMD6,696
YEL071W,chrV,+,16354,17845,16354,17845,1,"16354,","17845,",DLD3,1491
YEL034W,chrV,+,85675,86149,85675,86149,1,"85675,","86149,",HYP2,474
YEL013W,chrV,+,128824,130561,128824,130561,1,"128824,","130561,",VAC8,1737
YEL022W,chrV,+,111420,115800,111420,115800,1,"111420,","115800,",GEA2,4380
YEL073C,chrV,-,7229,7553,7229,7553,1,"7229,","7553,",YEL073C,324
YEL063C,chrV,-,31693,33466,31693,33466,1,"31693,","33466,",CAN1,1773
YEL076C-A,chrV,-,4184,5114,4184,5114,2,"4184,4601,","4322,5114,",YEL076C-A,651
YEL053C,chrV,-,53900,56102,53900,56102,1,"53900,","56102,",MAK10,2202
YEL065W,chrV,+,27656,29543,27656,29543,1,"27656,","29543,",SIT1,1887
YEL043W,chrV,+,70477,73348,70477,73348,1,"70477,","73348,",YEL043W,2871
YEL055C,chrV,-,48470,51539,48470,51539,1,"48470,","51539,",POL5,3069
YEL075W-A,chrV,+,4869,5481,4869,5481,1,"4869,","5481,",YEL075W-A,612
YEL031W,chrV,+,90257,93905,90257,93905,1,"90257,","93905,",SPF1,3648
YEL049W,chrV,+,63727,64090,63727,64090,1,"63727,","64090,",PAU2,363
YEL017C-A,chrV,-,122797,122929,122797,122929,1,"122797,","122929,",PMP2,132
YEL066W,chrV,+,26666,27206,26666,27206,1,"26666,","27206,",HPA3,540
YEL046C,chrV,-,67628,68792,67628,68792,1,"67628,","68792,",GLY1,1164
YEL038W,chrV,+,80461,81145,80461,81145,1,"80461,","81145,",UTR4,684
YEL017W,chrV,+,123656,124670,123656,124670,1,"123656,","124670,",GTT3,1014
YEL026W,chrV,+,101942,102323,101942,102323,1,"101942,","102323,",SNU13,381
YEL070W,chrV,+,19588,21097,19588,21097,1,"19588,","21097,",DSF1,1509
YEL018C-A,chrV,-,121454,121988,121454,121988,1,"121454,","121988,",YEL018C-A,534
YEL048C,chrV,-,64708,65167,64708,65167,1,"64708,","65167,",TCA17,459
YEL052W,chrV,+,56570,58100,56570,58100,1,"56570,","58100,",AFG1,1530
YEL032W,chrV,+,86936,89852,86936,89852,1,"86936,","89852,",MCM3,2916
YEL041W,chrV,+,75943,77431,75943,77431,1,"75943,","77431,",YEF1,1488
YEL050W-A,chrV,+,59548,59740,59548,59740,1,"59548,","59740,",YEL050W-A,192
YEL039C,chrV,-,79635,79977,79635,79977,1,"79635,","79977,",CYC7,342
YEL014C,chrV,-,128302,128608,128302,128608,1,"128302,","128608,",YEL014C,306
YEL025C,chrV,-,102580,106147,102580,106147,1,"102580,","106147,",YEL025C,3567
YEL057C,chrV,-,45019,45721,45019,45721,1,"45019,","45721,",YEL057C,702
YEL027W,chrV,+,100768,101251,100768,101251,1,"100768,","101251,",VMA3,483
YEL060C,chrV,-,40045,41953,40045,41953,1,"40045,","41953,",PRB1,1908
YEL067C,chrV,-,26188,26776,26188,26776,1,"26188,","26776,",YEL067C,588
YEL076C,chrV,-,4463,5114,4463,5114,1,"4463,","5114,",YEL076C,651
YEL044W,chrV,+,69756,70257,69756,70257,1,"69756,","70257,",IES6,501
YEL068C,chrV,-,25645,25978,25645,25978,1,"25645,","25978,",YEL068C,333
YEL036C,chrV,-,83049,84552,83049,84552,1,"83049,","84552,",ANP1,1503
YEL054C,chrV,-,52720,53218,52720,53218,1,"52720,","53218,",RPL12A,498
YEL034C-A,chrV,-,85612,86215,85612,86215,1,"85612,","86215,",YEL034C-A,603
YEL030W,chrV,+,94643,96578,94643,96578,1,"94643,","96578,",ECM10,1935
YEL047C,chrV,-,65384,66797,65384,66797,1,"65384,","66797,",FRD1,1413
YEL077C,chrV,-,263,4097,263,4097,1,"263,","4097,",YEL077C,3834
YEL024W,chrV,+,107259,107907,107259,107907,1,"107259,","107907,",RIP1,648
YEL020W-A,chrV,+,117210,117474,117210,117474,1,"117210,","117474,",TIM9,264
YEL037C,chrV,-,81406,82603,81406,82603,1,"81406,","82603,",RAD23,1197
YEL016C,chrV,-,124736,126218,124736,126218,1,"124736,","126218,",NPP2,1482
YER033C,chrV,-,218056,221287,218056,221287,1,"218056,","221287,",ZRG8,3231
YER053C,chrV,-,258736,259639,258736,259639,1,"258736,","259639,",PIC2,903
YER014W,chrV,+,182599,184219,182599,184219,1,"182599,","184219,",HEM14,1620
YER043C,chrV,-,235769,237119,235769,237119,1,"235769,","237119,",SAH1,1350
YER022W,chrV,+,198811,200875,198811,200875,1,"198811,","200875,",SRB4,2064
YER002W,chrV,+,156802,157498,156802,157498,1,"156802,","157498,",NOP16,696
YEL003W,chrV,+,148175,148599,148175,148599,2,"148175,148282,","148194,148599,",GIM4,336
YER044C-A,chrV,-,238459,239774,238459,239774,2,"238459,239711,","239623,239774,",MEI4,1227
YER006C-A,chrV,-,164343,164661,164343,164661,1,"164343,","164661,",YER006C-A,318
YEL005C,chrV,-,145906,146755,145906,146755,1,"145906,","146755,",VAB2,849
YER042W,chrV,+,234936,235491,234936,235491,1,"234936,","235491,",MXR1,555
YER030W,chrV,+,213436,213898,213436,213898,1,"213436,","213898,",CHZ1,462
YER001W,chrV,+,153519,155808,153519,155808,1,"153519,","155808,",MNN1,2289
YER038C,chrV,-,226857,228252,226857,228252,1,"226857,","228252,",KRE29,1395
YEL010W,chrV,+,136278,136629,136278,136629,1,"136278,","136629,",YEL010W,351
YEL002C,chrV,-,148721,150014,148721,150014,1,"148721,","150014,",WBP1,1293
YER023C-A,chrV,-,201521,201734,201521,201734,1,"201521,","201734,",YER023C-A,213
YER039C-A,chrV,-,229262,229481,229262,229481,1,"229262,","229481,",YER039C-A,219
YER051W,chrV,+,254655,256134,254655,256134,1,"254655,","256134,",JHD1,1479
YER004W,chrV,+,159579,160275,159579,160275,1,"159579,","160275,",FMP52,696
YER028C,chrV,-,210691,211876,210691,211876,1,"210691,","211876,",MIG3,1185
YER045C,chrV,-,240031,241501,240031,241501,1,"240031,","241501,",ACA1,1470
YER020W,chrV,+,195167,196517,195167,196517,1,"195167,","196517,",GPA2,1350
YEL012W,chrV,+,131771,132551,131771,132551,2,"131771,131899,","131776,132551,",UBC8,657
YEL008C-A,chrV,-,140725,140818,140725,140818,1,"140725,","140818,",YEL008C-A,93
YER012W,chrV,+,177834,178431,177834,178431,1,"177834,","178431,",PRE1,597
YEL008W,chrV,+,140511,140892,140511,140892,1,"140511,","140892,",YEL008W,381
YER019W,chrV,+,192796,194230,192796,194230,1,"192796,","194230,",ISC1,1434
YEL001C,chrV,-,150300,150978,150300,150978,1,"150300,","150978,",IRC22,678
YER044C,chrV,-,237569,238016,237569,238016,1,"237569,","238016,",ERG28,447
YER023W,chrV,+,201075,201936,201075,201936,1,"201075,","201936,",PRO3,861
YER052C,chrV,-,256374,257958,256374,257958,1,"256374,","257958,",HOM3,1584
YER003C,chrV,-,157735,159118,157735,159118,2,"157735,159087,","158994,159118,",PMI40,1290
YER025W,chrV,+,205250,206834,205250,206834,1,"205250,","206834,",GCD11,1584
YER013W,chrV,+,178840,182278,178840,182278,1,"178840,","182278,",PRP22,3438
YER032W,chrV,+,215062,217693,215062,217693,1,"215062,","217693,",FIR1,2631
YER037W,chrV,+,225888,226854,225888,226854,1,"225888,","226854,",PHM8,966
YER053C-A,chrV,-,260932,261046,260932,261046,1,"260932,","261046,",YER053C-A,114
YER006W,chrV,+,162722,164285,162722,164285,1,"162722,","164285,",NUG1,1563
YER026C,chrV,-,207643,208474,207643,208474,1,"207643,","208474,",CHO1,831
YER047C,chrV,-,243809,246503,243809,246503,1,"243809,","246503,",SAP1,2694
YER010C,chrV,-,172633,173338,172633,173338,1,"172633,","173338,",YER010C,705
YER007C-A,chrV,-,166236,166885,166236,166885,2,"166236,166874,","166771,166885,",TMA20,546
YEL007W,chrV,+,141891,143892,141891,143892,1,"141891,","143892,",MIT1,2001
YER029C,chrV,-,212586,213177,212586,213177,1,"212586,","213177,",SMB1,591
YER005W,chrV,+,160549,162442,160549,162442,1,"160549,","162442,",YND1,1893
YER021W,chrV,+,196947,198519,196947,198519,1,"196947,","198519,",RPN3,1572
YER048W-A,chrV,+,250717,251002,250717,251002,1,"250717,","251002,",ISD11,285
YEL009C,chrV,-,138917,139763,138917,139763,1,"138917,","139763,",GCN4,846
YER046W,chrV,+,243179,243611,243179,243611,1,"243179,","243611,",SPO73,432
YER011W,chrV,+,175247,176012,175247,176012,1,"175247,","176012,",TIR1,765
YER034W,chrV,+,221845,222403,221845,222403,1,"221845,","222403,",YER034W,558
YEL006W,chrV,+,144326,145334,144326,145334,1,"144326,","145334,",YEA6,1008
YER046W-A,chrV,+,243699,244029,243699,244029,1,"243699,","244029,",YER046W-A,330
YER050C,chrV,-,253970,254387,253970,254387,1,"253970,","254387,",RSM18,417
YER018C,chrV,-,191958,192624,191958,192624,1,"191958,","192624,",SPC25,666
YER031C,chrV,-,214075,214747,214075,214747,1,"214075,","214747,",YPT31,672
YER016W,chrV,+,188276,189311,188276,189311,1,"188276,","189311,",BIM1,1035
YEL004W,chrV,+,146950,147979,146950,147979,1,"146950,","147979,",YEA4,1029
YEL009C-A,chrV,-,136370,136778,136370,136778,1,"136370,","136778,",YEL009C-A,408
YER039C,chrV,-,228455,229205,228455,229205,1,"228455,","229205,",HVG1,750
YER024W,chrV,+,202191,204963,202191,204963,1,"202191,","204963,",YAT2,2772
YER041W,chrV,+,232460,234740,232460,234740,1,"232460,","234740,",YEN1,2280
YER009W,chrV,+,172114,172492,172114,172492,1,"172114,","172492,",NTF2,378
YER035W,chrV,+,222638,223076,222638,223076,1,"222638,","223076,",EDC2,438
YEL011W,chrV,+,133119,135234,133119,135234,1,"133119,","135234,",GLC3,2115
YER019C-A,chrV,-,194272,194539,194272,194539,1,"194272,","194539,",SBH2,267
YER049W,chrV,+,251727,253662,251727,253662,1,"251727,","253662,",TPA1,1935
YER008C,chrV,-,167807,171818,167807,171818,1,"167807,","171818,",SEC3,4011
YER015W,chrV,+,184540,186775,184540,186775,1,"184540,","186775,",FAA2,2235
YER007W,chrV,+,164526,166083,164526,166083,1,"164526,","166083,",PAC2,1557
YER027C,chrV,-,208978,210232,208978,210232,1,"208978,","210232,",GAL83,1254
YER017C,chrV,-,189502,191788,189502,191788,1,"189502,","191788,",AFG3,2286
YER036C,chrV,-,223366,225199,223366,225199,1,"223366,","225199,",ARB1,1833
YER038W-A,chrV,+,228450,228831,228450,228831,1,"228450,","228831,",YER038W-A,381
YER040W,chrV,+,229794,231987,229794,231987,1,"229794,","231987,",GLN3,2193
YER048C,chrV,-,246981,248157,246981,248157,1,"246981,","248157,",CAJ1,1176
YER014C-A,chrV,-,183730,184700,183730,184700,2,"183730,184677,","184169,184700,",BUD25,462
YER063W,chrV,+,281709,282366,281709,282366,1,"281709,","282366,",THO1,657
YER091C-A,chrV,-,342389,342611,342389,342611,1,"342389,","342611,",YER091C-A,222
YER100W,chrV,+,359561,360314,359561,360314,1,"359561,","360314,",UBC6,753
YER110C,chrV,-,378761,382103,378761,382103,1,"378761,","382103,",KAP123,3342
YER082C,chrV,-,324271,325936,324271,325936,1,"324271,","325936,",UTP7,1665
YER109C,chrV,-,375214,377614,375214,377614,1,"375214,","377614,",YER109C_CDS,2400
YER107W-A,chrV,+,374393,374714,374393,374714,1,"374393,","374714,",YER107W-A,321
YER094C,chrV,-,348728,349346,348728,349346,1,"348728,","349346,",PUP3,618
YER092W,chrV,+,342854,343232,342854,343232,1,"342854,","343232,",IES5,378
YER101C,chrV,-,360501,361794,360501,361794,1,"360501,","361794,",AST2,1293
YER078C,chrV,-,316806,318342,316806,318342,1,"316806,","318342,",ICP55,1536
YER062C,chrV,-,279929,280682,279929,280682,1,"279929,","280682,",GPP2,753
YER095W,chrV,+,349979,351182,349979,351182,1,"349979,","351182,",RAD51,1203
YER090C-A,chrV,-,338321,338411,338321,338411,1,"338321,","338411,",YER090C-A,90
YER098W,chrV,+,355465,357730,355465,357730,1,"355465,","357730,",UBP9,2265
YER081W,chrV,+,322685,324095,322685,324095,1,"322685,","324095,",SER3,1410
YER070W,chrV,+,298949,301616,298949,301616,1,"298949,","301616,",RNR1,2667
YER079C-A,chrV,-,319901,320240,319901,320240,1,"319901,","320240,",YER079C-A,339
YER113C,chrV,-,387931,390052,387931,390052,1,"387931,","390052,",TMN3,2121
YER111C,chrV,-,382594,385876,382594,385876,1,"382594,","385876,",SWI4,3282
YER069W,chrV,+,295409,298001,295409,298001,1,"295409,","298001,",ARG5%2C6,2592
YER077C,chrV,-,314533,316600,314533,316600,1,"314533,","316600,",YER077C,2067
YER074W,chrV,+,306322,307196,306322,307196,2,"306322,306791,","306325,307196,",RPS24A,408
YER061C,chrV,-,278297,279626,278297,279626,1,"278297,","279626,",CEM1,1329
YER059W,chrV,+,272623,273886,272623,273886,1,"272623,","273886,",PCL6,1263
YER087C-A,chrV,-,331816,332368,331816,332368,1,"331816,","332368,",YER087C-A,552
YER084W,chrV,+,327064,327451,327064,327451,1,"327064,","327451,",YER084W,387
YER086W,chrV,+,328476,330207,328476,330207,1,"328476,","330207,",ILV1,1731
YER060W,chrV,+,274566,276153,274566,276153,1,"274566,","276153,",FCY21,1587
YER068C-A,chrV,-,295300,295732,295300,295732,1,"295300,","295732,",YER068C-A,432
YER056C-A,chrV,-,269422,270185,269422,270185,2,"269422,270148,","269751,270185,",RPL34A,366
YER088C-A,chrV,-,335695,336019,335695,336019,1,"335695,","336019,",YER088C-A,324
YER103W,chrV,+,364588,366517,364588,366517,1,"364588,","366517,",SSA4,1929
YER078W-A,chrV,+,318645,318810,318645,318810,1,"318645,","318810,",YER078W-A,165
YER076W-A,chrV,+,313389,313737,313389,313737,1,"313389,","313737,",YER076W-A,348
YER058W,chrV,+,271767,272091,271767,272091,1,"271767,","272091,",PET117,324
YER072W,chrV,+,302805,303195,302805,303195,1,"302805,","303195,",VTC1,390
YER057C,chrV,-,270736,271126,270736,271126,1,"270736,","271126,",HMF1,390
YER068W,chrV,+,293049,294813,293049,294813,1,"293049,","294813,",MOT2,1764
YER088C,chrV,-,333175,335188,333175,335188,1,"333175,","335188,",DOT6,2013
YER093C-A,chrV,-,347911,348400,347911,348400,2,"347911,348276,","348201,348400,",AIM11,414
YER090W,chrV,+,337948,339472,337948,339472,1,"337948,","339472,",TRP2,1524
YER104W,chrV,+,366801,367428,366801,367428,1,"366801,","367428,",RTT105,627
